Unnamed: 0,ticket_number,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,issue_date,hour
6822752,9192692985,6334 N CLARK ST,d85f55903d4cf8b78bc8a9402479225480db7afe426ffeb619accedf812397a0,IL,PAS,606452416,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498.0,DOF,TOYT,50,100,0.0,50.0,Paid,2018-01-31 00:00:00,VIOL,,5196971430,627,"6300 n clark st, chicago, il",2015-01-01 12:42:00,12
6822753,9192627165,3443 S PAULINA,062ab3e69d9f96fa4c21d281f070943c659ee875a5a6816687b8d87be72b951b,IL,PAS,606091310,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498.0,DOF,CHEV,200,400,0.0,200.0,Paid,2018-02-28 00:00:00,DETR,,5182783230,827,"3400 s paulina, chicago, il",2015-01-01 12:42:00,12
6822754,9192731210,7316 S PHILLIPS AVE,b8f1ff97f5ccedd9cabb924963014b3a6521d53a4d803110c320a44d2e7393fb,IL,PAS,606493419,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498.0,DOF,FORD,200,400,0.0,0.0,Dismissed,2018-02-20 00:00:00,VIOL,Not Liable,5183426710,828,"7300 s phillips ave, chicago, il",2015-01-01 12:42:00,12
6822755,9192779334,10000 W OHARE BLVD,d7bc882dfd0a21e17075277a3714c037f9eb320e8a16e1460fc1d32f891d5f92,IL,PAS,600107048,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,LEXU,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210277960,716,"10000 w ohare blvd, chicago, il",2015-01-01 12:42:00,12
6822756,9192748804,1222 W GLENLAKE,011c607212073ee4b95207d73a8c52d6f7ffd50b5121370047668cd948d76da4,IL,PAS,604531047,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,HOND,60,120,0.0,60.0,Paid,2018-02-08 00:00:00,VIOL,,5209458780,830,"1200 w glenlake, chicago, il",2015-01-01 12:42:00,12
6822757,9192733977,1223 S WASHTENAW,561e3b4edb18fae5548f860d0825189f231f19db7c048d83ce190da45697b7a8,IL,DLC,,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,498.0,DOF,FORD,60,120,0.0,60.0,Paid,2018-01-04 00:00:00,,,0,794,"1200 s washtenaw, chicago, il",2015-01-01 12:42:00,12
6822758,9192713092,618 W PATTERSON,1dd2a65a015bc6139f0579d86f60345a2a519001b166af5e00161242d2b563b8,OH,PAS,45701,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,498.0,DOF,MERZ,60,120,60.0,0.0,Notice,2018-04-17 00:00:00,DETR,Liable,5210566970,732,"600 w patterson, chicago, il",2015-01-01 12:42:00,12
6822759,9192685187,35 S CLARK ST,05c332b45faee4c0205bb6caa7a94988b94e5ceb25e39b38e75d711836eda981,IL,PAS,601482945,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498.0,DOF,FORD,75,150,150.0,0.0,Notice,2018-04-05 00:00:00,FINL,Liable,5210276160,784,"1 s clark st, chicago, il",2015-01-01 12:42:00,12
6822760,9192747598,852 W ARMITAGE,a56f68cb8810d38021d33f6208cefec410c7888355f7a16b16ef5e8277cd663d,IL,PAS,606412854,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,498.0,DOF,BMW,100,200,0.0,100.0,Paid,2018-02-13 00:00:00,DETR,,5209552610,129,"800 w armitage, chicago, il",2015-01-01 12:42:00,12
6822761,9192723063,7945 S RHODES,0ad57f18c3557550e0dda4f3373b8cffb5d62e9d467f75f7d4224f9d22ae4434,IL,PAS,60619,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,498.0,DOF,CHEV,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5209831660,821,"7900 s rhodes, chicago, il",2015-01-01 12:43:00,12
6822762,9192754977,2548 N SACRAMENTO,50d854f84798450b7cfb598a526720ae7c63a7aa569fee393bf30028eb6a40db,IL,PAS,606461330,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498.0,DOF,SUBA,200,400,0.0,200.0,Paid,2018-02-26 00:00:00,DETR,,5187578220,643,"2500 n sacramento, chicago, il",2015-01-01 12:43:00,12
6822763,9192723719,1311 W GLENLAKE,5e1b95066a7fe8d803d1b06b48b4c96755c1fbf645575096d0d232633cc68767,WI,PAS,53711,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,VOLK,60,120,0.0,60.0,Paid,2018-01-29 00:00:00,VIOL,,5210566990,816,"1300 w glenlake, chicago, il",2015-01-01 12:43:00,12
6822764,9192703695,5441 S HOMAN AVE,b0969dd9bcc8714255e503795f62bd85702b1eefe7052e6ba00edc81907f1467,IL,PAS,606323134,0964090E,RESIDENTIAL PERMIT PARKING,498.0,DOF,CHRY,75,150,0.0,75.0,Paid,2018-01-14 00:00:00,VIOL,,5178613100,802,"5400 s homan ave, chicago, il",2015-01-01 12:44:00,12
6822765,9192730237,160 W ERIE ST,b39e9bd51d0c1975e9726e30a08c5a1030a83778fe614a97e5cc6106f887d32f,IL,PAS,604731638,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,FORD,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5209780600,664,"100 w erie st, chicago, il",2015-01-01 12:44:00,12
6822766,9192724194,1700 W 33RD PL,adff13b90a7423cfc8136c4d832a8c99fec0cc76c85b1b88d4c8d7e0bd1bb525,IL,PAS,606086222,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498.0,DOF,ACUR,75,150,0.0,75.0,Paid,2018-02-23 00:00:00,DETR,Liable,5210276800,780,"1700 w 33rd pl, chicago, il",2015-01-01 12:44:00,12
6822767,9192677492,7502 S KINGSTON,ab58f9981647490edca68177524a7fac1e87dbd3dac19eabff42455b1fb82c29,IL,PAS,606211307,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,FORD,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,DLS,,5199776290,798,"7500 s kingston, chicago, il",2015-01-01 12:45:00,12
6822768,9192699535,8010 S RHODES,8f8cfcd38c23f379554c0ccc400ae298d3fd7122f23a08c851985c8fb5aa5e5b,IL,PAS,606602739,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498.0,DOF,DODG,200,400,0.0,200.0,Paid,2018-02-03 00:00:00,VIOL,,5210384120,829,"8000 s rhodes, chicago, il",2015-01-01 12:45:00,12
6822769,9192747599,844 W ARMITAGE AV,8136eb35d1cf53ecc50426447cc7a8925eba258c6071cb8db0a2efef82bd3bfd,IL,PAS,60660,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498.0,DOF,NISS,50,100,0.0,0.0,Dismissed,2018-03-21 00:00:00,,Not Liable,5189619730,129,"800 w armitage av, chicago, il",2015-01-01 12:45:00,12
6822770,9192738067,5442 S HOMAN AVE,5482b0d9d2573c6168be1dcba61454f8115363babe46d0ebed8a5a7cd1641fe5,IL,PAS,60472,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,498.0,DOF,CHEV,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210277220,811,"5400 s homan ave, chicago, il",2015-01-01 12:45:00,12
6822771,9192738068,5442 S HOMAN AVE,5482b0d9d2573c6168be1dcba61454f8115363babe46d0ebed8a5a7cd1641fe5,IL,PAS,60472,0964090E,RESIDENTIAL PERMIT PARKING,498.0,DOF,CHEV,75,150,150.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210277220,811,"5400 s homan ave, chicago, il",2015-01-01 12:45:00,12
6822772,68650240,1557 S PULASKI,bf1f5bf58e6b285ae7623cf7290f934b9d844d3c436d67c60b6fa7561b4d9848,IL,PAS,605275200,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,10.0,CPD,TOYT,100,200,200.0,0.0,Notice,2018-01-10 00:00:00,FINL,,5210406710,16939,"1500 s pulaski, chicago, il",2015-01-01 12:46:00,12
6822773,9192712989,3302 S PAULINA,7c2bf57f66aa3a0c595c5f8463f83c02630ba3d297cc9d3d367e236577bc7e74,IL,TRK,606086239,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498.0,DOF,CHEV,75,150,0.0,75.0,Paid,2018-01-22 00:00:00,VIOL,,5198885260,826,"3300 s paulina, chicago, il",2015-01-01 12:46:00,12
6822774,9192706305,8030 S RHODES,b63262511b3530f902d0100b223d0600ab2d25f73eaf2f4de226e76f46b16513,IL,WVT,606284640,0964100A,WITHIN 15' OF FIRE HYDRANT,498.0,DOF,JEEP,150,300,300.0,0.0,Notice,2018-03-21 00:00:00,FINL,Liable,5210276440,824,"8000 s rhodes, chicago, il",2015-01-01 12:46:00,12
6822775,9192760400,838 W ARMITAGE AV,71b917a0b10f996b9e5c8516729a7a4c628db73967ff8c728f841a88bc32e337,IL,COL,,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498.0,DOF,JEEP,50,100,50.0,0.0,Define,2017-12-27 00:00:00,,,0,129,"800 w armitage av, chicago, il",2015-01-01 12:46:00,12
6822776,9192749849,1624 S ASHLAND AVE,e5f2317890eaf07ee00f39aa85dc3009edba6018e342c0fda9c2d718fabccf16,IN,PAS,463232609,0964100F,20'OF CROSSWALK,498.0,DOF,CHEV,60,120,0.0,120.0,Paid,2018-04-11 00:00:00,FINL,,5194328360,791,"1600 s ashland ave, chicago, il",2015-01-01 12:46:00,12
6822777,9192758253,3951 N CLARENDON,d0f6595cf88337189bcf553b5b46a8dea471f460859903e83652be1415d8e975,IL,PAS,60647,0964150B,PARKING/STANDING PROHIBITED ANYTIME,498.0,DOF,SUBA,75,150,0.0,75.0,Paid,2018-01-06 00:00:00,,,5207889430,809,"3900 n clarendon, chicago, il",2015-01-01 12:47:00,12
6822778,9192414576,2250 W 19TH ST,7ff56644afe81e9e09c4a3ff15e1fe055dae13ea2dc86835d419a0de6caceb93,IL,PAS,606433904,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,JEEP,60,120,120.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5210275580,775,"2200 w 19th st, chicago, il",2015-01-01 12:47:00,12
6822779,9192521981,1826 W MONTROSE AV,55a2ed1692aa25ff150d8c6e58cd735e553300673915ba1f66a432f165dcb6d4,IL,PAS,606252301,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,498.0,DOF,MERZ,50,100,0.0,50.0,Paid,2018-01-03 00:00:00,,,0,622,"1800 w montrose av, chicago, il",2015-01-01 12:47:00,12
6822780,68658035,1623 S DRAKE,0d36f9ab37931c00d04b89328ff49b885469c40bd177c1b7416ef9c13173fed7,IL,TRK,,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,10.0,CPD,DODG,60,120,60.0,0.0,Define,2018-01-03 00:00:00,,,0,13873,"1600 s drake, chicago, il",2015-01-01 12:47:00,12
6822781,68650241,1557 S PULASKI,bf1f5bf58e6b285ae7623cf7290f934b9d844d3c436d67c60b6fa7561b4d9848,IL,PAS,605275200,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,10.0,CPD,TOYT,60,120,120.0,0.0,Notice,2018-01-10 00:00:00,FINL,,5210406710,16939,"1500 s pulaski, chicago, il",2015-01-01 12:47:00,12
6822782,9192414577,2243 W 19TH ST,89d25d28820ecb9318f2f590ceff55f6d03a4530dc5c5063e993dc338d2f0a10,IL,PAS,606141348,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,498.0,DOF,KIA,60,120,60.0,0.0,Define,2017-12-27 00:00:00,,,0,775,"2200 w 19th st, chicago, il",2015-01-01 12:47:00,12
6822783,68740263,7829 S CREGIER,6dc59e65b0147582379a4394e5e8fe52b77986a0f31896da3d07047c432784e7,IL,PAS,60649,0964100A,WITHIN 15' OF FIRE HYDRANT,4.0,CPD,HOND,150,300,0.0,150.0,Paid,2018-01-16 00:00:00,VIOL,,5210407170,14476,"7800 s cregier, chicago, il",2015-01-01 12:48:00,12
