,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
4649,4649,9191931450,2017-06-09 13:11:00,3025 N LINDER AVE.,4a531676dfc57fb8a337e571d7f9a33883a6fa11b648164dfef6f31bc48c95b4,IL,DLC,,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,CHEV,75,150,75.0,0.0,Define,2017-06-12 00:00:00,,,0,638,"3000 n linder ave., chicago, il",60641,41.935752282820715,-87.7639431295807
4650,4650,9191888183,2017-06-09 13:11:00,2107 W SCHILLER,dfbc0cfce8187794c4308413088be7bb3f49bfbe7ab0687dd48b73af91305759,IL,PAS,606311080.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,498,DOF,FORD,60,120,0.0,0.0,Dismissed,2017-09-29 00:00:00,,Not Liable,5161602120,723,"2100 w schiller, chicago, il",60622,41.90698888389275,-87.68011326506655
4651,4651,9191772949,2017-06-09 13:11:00,3233 S HALSTED ST,c2f3053c25973849639bd119016d8f41c9518af4b30b51f920ed86ace07f3e15,IL,PAS,606433806.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498,DOF,CHEC,200,400,200.0,0.0,Define,2017-06-12 00:00:00,,,0,814,"3200 s halsted st, chicago, il",60608,41.83544686372554,-87.64618412236733
4652,4652,9191678169,2017-06-09 13:11:00,352 E RANDOLPH (LL) ST,9039e3a28bdc65dad546a9037a6e1d3a70f0c5a0b03768f00deb8a0865ebaea2,IL,PAS,606426562.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,729,Miscellaneous,JAGU,65,130,65.0,0.0,Define,2017-06-12 00:00:00,,,0,1215,"300 e randolph (ll) st, chicago, il",60601,41.88458457497089,-87.6190280445373
4653,4653,9191889805,2017-06-09 13:11:00,2105 W SCHILLER,6da4723ee5201e8a778b7a53c0001498d14284446343a3f868d352da75a1eca4,OH,PAS,44146.0,0980110A,ABANDONED VEH. FOR 7 DAYS OR INOPERABLE,498,DOF,CHEV,75,150,0.0,0.0,Dismissed,2017-10-06 00:00:00,,Not Liable,5122542040,737,"2100 w schiller, chicago, il",60622,41.90698966564887,-87.68003723928352
4654,4654,67507831,2017-06-09 13:12:00,20 W 35TH PL,9c39c0ede5c97da9b06e798c6d97cc477fcfcd200ee7720a7a53f217d45e570a,IL,PAS,,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,FORD,75,150,0.0,75.0,Paid,2017-06-21 00:00:00,,,0,684,"1 w 35th pl, chicago, il",60616,41.83006989387158,-87.62817626167801
4655,4655,9191910184,2017-06-09 13:12:00,9057 S COMMERCIAL AVE,69d9ce54bc1f88cccf07e84b3b21eec6841850699cf07481e1e2d9b3355cf5fa,IL,PAS,60419.0,0976160D,NONCOMPLIANT PLATE(S),498,DOF,CHEV,60,120,146.4,0.0,Notice,2017-06-15 00:00:00,SEIZ,,5205818930,687,"9000 s commercial ave, chicago, il",60617,41.730432043497885,-87.5511794889871
4656,4656,9191886408,2017-06-09 13:12:00,170 E LAKE SHORE DR,a9f6525f59202b6cfb841512e85bf653fc7b9a7f79f114cac4b716d382453dcb,IL,PAS,606172338.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,PONT,65,130,0.0,65.0,Paid,2017-07-17 00:00:00,VIOL,,5200144390,821,"100 e lake shore dr, chicago, il",60611,41.900958729187984,-87.62267759632964
4657,4657,9191890551,2017-06-09 13:12:00,4057 W 24TH ST,c9a88f01cc17a58e4ff8d694b407621f75067bb14a7e7511be015d71ac291c2f,IL,PAS,606425201.0,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,HYUN,75,150,0.0,75.0,Paid,2017-08-21 00:00:00,DETR,,5180579410,766,"4000 w 24th st, chicago, il",60623,41.84782159013498,-87.72575331330478
4658,4658,9191897007,2017-06-09 13:12:00,3533 N WILTON,d018dabc6938c37f6514f141de3dad139477f67d0c08fd754bdd50e619523120,CO,PAS,80205.0,0964100A,WITHIN 15' OF FIRE HYDRANT,498,DOF,AUDI,150,300,0.0,150.0,Paid,2017-10-13 00:00:00,DETR,Liable,5205906600,781,"3500 n wilton, chicago, il",60657,41.946416863725545,-87.65303453133495
4659,4659,9191873639,2017-06-09 13:12:00,105 S WALLER,da1e73750dd19bf63742e786fb2cf4c986f41e76f56700509b2a06581d49e255,IL,PAS,606441426.0,0964090E,RESIDENTIAL PERMIT PARKING,498,DOF,CHRY,75,150,0.0,75.0,Paid,2017-08-14 00:00:00,DETR,,5136913120,727,"100 s waller, chicago, il",60644,41.87897103136362,-87.76802164400742
4660,4660,9191815122,2017-06-09 13:12:00,218 N MILWAUKEE,7ed4b331415f8989312490fa777ae4e9fcb62c54c60470a63b36a65d179b9079,IL,PAS,,0964110G,PARK OR STAND IN VIADUCT/UNDERPASS,498,DOF,VOLV,75,150,0.0,75.0,Paid,2017-06-13 00:00:00,,,0,784,"200 n milwaukee, chicago, il",60661,41.88597605552502,-87.64006686113747
4661,4661,9191883116,2017-06-09 13:12:00,3943 N JANSSEN,3b1abcf35bf2f9f5526accc5f7982c7ff97500c03f357ac753991baba97d4b8c,IL,PAS,606132613.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",498,DOF,JEEP,200,400,488.0,0.0,Notice,2017-10-27 00:00:00,FINL,Liable,5202692410,802,"3900 n janssen, chicago, il",60613,41.953739589210834,-87.66576904838546
4662,4662,9191862734,2017-06-09 13:12:00,4741 S ASHLAND AV,f18d4377641eb6597f53e1b68810286e0f7aadd84fda5f216d623411c33755f5,IL,PAS,606164868.0,0964140B,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,498,DOF,HOND,100,200,0.0,100.0,Paid,2017-06-19 00:00:00,VIOL,,5205892040,804,"4700 s ashland av, chicago, il",60609,41.80766982161807,-87.66488633409045
4663,4663,9191837169,2017-06-09 13:12:00,4739 S EVANS,f846236df99287848a34545e82542488b244046732e8d2366de83f2742a538b2,OH,PAS,43314.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,498,DOF,HOND,60,120,60.0,0.0,Define,2017-06-12 00:00:00,,,0,815,"4700 s evans, chicago, il",60615,41.80832027699233,-87.60772164790255
4664,4664,9191841540,2017-06-09 13:12:00,4740 S COTTAGE GROVE AVE,7a6064c48691a77d7cda0afdb8b92d680274e832e1a77a91e30bc7eb178c703c,IL,PAS,606152418.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,TOYT,50,100,0.0,50.0,Paid,2017-07-11 00:00:00,VIOL,,5018805090,1456,"4700 s cottage grove ave, chicago, il",60615,41.80826607799065,-87.60657581934886
4665,4665,9191768417,2017-06-09 13:12:00,170 E LAKE SHORE DR,01d167bbaaef4b04c60efe5c1a180c7badfff1694c48be4ffccaf1f8b46859e3,IL,PAS,606143617.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,LEXU,65,130,0.0,65.0,Paid,2017-06-28 00:00:00,VIOL,,5205845060,794,"100 e lake shore dr, chicago, il",60611,41.900958729187984,-87.62267759632964
4666,4666,9191876384,2017-06-09 13:12:00,218 W LAKE ST,52422f58bb2047771c2aae79a0c70eb400a542f7ead6c6f247e4348cb7cb3a20,IL,PAS,606161124.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,498,DOF,JEEP,65,130,0.0,65.0,Paid,2017-06-30 00:00:00,VIOL,,5205316290,702,"200 w lake st, chicago, il",60606,41.885745504327836,-87.63456086081135
4667,4667,9191826690,2017-06-09 13:12:00,2042 N MILWAUKEE AV,83cd97e9a180be43f8a5c6ebde0dddba098797ca518e573975749fc226b184fd,IL,PAS,60651.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,CHEV,50,100,122.0,0.0,Notice,2017-06-15 00:00:00,FINL,,5205846300,1253,"2000 n milwaukee av, chicago, il",60647,41.918331912614,-87.69001029578486
4668,4668,68138210,2017-06-09 13:13:00,2554 W PENSACOLA AVE,ac2e654635f30aece41ee8ecec15e2a9d9781703b305b2b9c54562c9851323a7,IL,PAS,606181512.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,19,CPD,CHEV,60,120,0.0,0.0,Dismissed,2017-10-18 00:00:00,VIOL,Not Liable,5178328080,15017,"2500 w pensacola ave, chicago, il",60618,41.96040546047076,-87.6938985
4669,4669,9191896806,2017-06-09 13:13:00,2345 S FEDERAL,d8f2c01223c860ebb08cb88fbc75c7550a7b9efe8fe1a642a84b2bfcb0e9fbac,IL,TMP,,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,498,DOF,FORD,60,120,60.0,0.0,Define,2017-06-12 00:00:00,,,0,810,"2300 s federal, chicago, il",60616,41.850237659197646,-87.62922289852523
4670,4670,68119356,2017-06-09 13:13:00,1514 N LARAMIE,44b3aa98c59b1461370c6c4372f12718504e3bdfcb4a216c3daa07cddef3487f,IL,PAS,,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,25,CPD,CHEV,60,120,0.0,60.0,Paid,2017-06-23 00:00:00,,,0,16444,"1500 n laramie, chicago, il",60651,41.90819299417163,-87.75594741038124
