,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
3648,3648,9191819330,2017-06-10 18:38:00,5341 S LAKE PARK - INNER,9a0777269fa92ba728b0d942f24114e84803ee3c86a03a388743ad94ce371d2b,IL,PAS,60601.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,TOYT,50,100,0.0,50.0,Paid,2017-08-07 00:00:00,DETR,,5016897130,1628,"5300 s lake park - inner, chicago, il",60615,41.79892209888148,-87.58720265586707
3649,3649,9191112990,2017-06-10 18:39:00,1615 N WELLS ST,4d2f19c3cb16206edd9aef7c085daf20de4e281e03d8401b0421a4a9a4d8a16a,GA,PAS,303112308.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,HOND,50,100,0.0,50.0,Paid,2017-08-23 00:00:00,DETR,,5192906610,1468,"1600 n wells st, chicago, il",60614,41.911578031363604,-87.63469259625519
3650,3650,68036756,2017-06-10 18:39:00,6915 S ARTESIAN,b01cff7d606005a3a3a4e8c1320928aef4418047a77d42e27613a33a49219ce6,IL,PAS,606361716.0,0964110A,DOUBLE PARKING OR STANDING,8,CPD,TOYT,100,200,0.0,0.0,Dismissed,2017-08-18 00:00:00,VIOL,Not Liable,5154074690,14138,"6900 s artesian, chicago, il",60629,41.76778536663974,-87.68452420618637
3651,3651,67918463,2017-06-10 18:40:00,6917 S ARTESIAN,f3897811db0ea6b5674a34a40db1c30137c16167da18de9407e3db896737dcd7,IL,PAS,606291429.0,0964110A,DOUBLE PARKING OR STANDING,8,CPD,FORD,100,200,244.0,0.0,Notice,2017-06-22 00:00:00,FINL,,5172126350,7409,"6900 s artesian, chicago, il",60629,41.76775249758666,-87.68449954317117
3652,3652,67928273,2017-06-10 18:40:00,8600 S ADA ST,c065a3210a611feb92403560140a6bf8143384df02f593e7c20a883f4204fe8d,IL,PAS,606203247.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",6,CPD,CHEV,200,400,488.0,0.0,Notice,2017-06-29 00:00:00,FINL,,5157144560,16208,"8600 s ada st, chicago, il",60620,41.737552910352605,-87.65706530102699
3653,3653,68036757,2017-06-10 18:40:00,6117 S ARTESIAN,7c576f163324914eba676f8ebed6535f8d9cf27f7929850314a362ef74311e36,IL,PAS,60617.0,0964110A,DOUBLE PARKING OR STANDING,8,CPD,NISS,100,200,244.0,0.0,Notice,2017-07-06 00:00:00,SEIZ,,5149739270,14138,"6100 s artesian, chicago, il",60629,41.78234761809682,-87.68490467343779
3654,3654,9191871059,2017-06-10 18:40:00,2833 S CALIFORNIA BLVD,0cb8fd692de0b8806b5a2612f7d6b5e24bfca870a105832a59851f4394908add,IL,PAS,605862292.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,729,Miscellaneous,CHEV,50,100,0.0,50.0,Paid,2017-07-19 00:00:00,VIOL,,5175407520,1465,"2800 s california blvd, chicago, il",60608,41.84112778860469,-87.69428459964317
3655,3655,68128149,2017-06-10 18:40:00,1231 S STATE ST,2133fc8d20da7daa182aef3d849ad42d6815688d2cf21f23a30e85b12e0504b7,IL,PAS,607067194.0,0976180A,SAFETY BELTS REQUIRED,145,CPD-Other,AUDI,25,50,0.0,25.0,Paid,2017-09-11 00:00:00,DETR,,5181978280,19695,"1200 s state st, chicago, il",60605,41.86655111518263,-87.62730415511592
3656,3656,68128150,2017-06-10 18:40:00,1231 S STATE ST,2133fc8d20da7daa182aef3d849ad42d6815688d2cf21f23a30e85b12e0504b7,IL,PAS,607067194.0,0976180A,SAFETY BELTS REQUIRED,145,CPD-Other,AUDI,25,50,0.0,25.0,Paid,2017-09-11 00:00:00,DETR,,5181978280,19695,"1200 s state st, chicago, il",60605,41.86655111518263,-87.62730415511592
3657,3657,9191819331,2017-06-10 18:40:00,5342 S LAKE PARK - INNER,7856fa2f1004b31b7f8639ce0b604f8a23d4da551a54ffb474dbcb43cb791644,IL,PAS,606176007.0,0964190A,EXP. METER NON-CENTRAL BUSINESS DISTRICT,502,DOF,TOYT,50,100,0.0,50.0,Paid,2017-06-22 00:00:00,VIOL,,5178807720,1628,"5300 s lake park - inner, chicago, il",60615,41.798780482915156,-87.58779448060045
